"V1" "geneID" "pSex" "meanM" "meanF" "sexbias" "bias" "pSex_MA" "meanM_MA" "meanF_MA" "sexbias_MA" "bias_MA" "pSex_BH" "pSex_BH_MA" "meandifdif" "meandifdiv" "meandifdiffoSexBiasmales" "meandifdiffoSexBiasfemales" "meandifdifmoSexBiase" "deltaM_M" "deltaM_F" "CHROM" "CHROM_SH"
"49" 49 "LOC110178418" 1.64348983393633e-05 5.00558981618461 6.30013493811453 -1.29454512192993 "F" 7.69894037671271e-181 4.89966230483888 6.21148944759751 -1.31182714275863 "F" 7.6548133718981e-05 4.06914524532083e-180 0.0172820208287001 1.01334987907021 -0.105927511345731 -0.0886454905170195 -0.017282020828711 -0.0755780146621814 -0.0502514693209939 "2R" "Auto"
"50" 50 "LOC110178515" 8.3709231298724e-05 7.42287811566865 8.32906514363336 -0.906187027964717 "U" 1.55561887196618e-207 7.50995813895093 8.58794629793323 -1.0779881589823 "F" 0.000217429079716337 1.3489437932621e-206 0.171801131017583 1.18958683551611 0.0870800232822804 0.258881154299871 -0.171801131017591 0.0418975063721609 0.111005921448184 "2R" "Auto"
"51" 51 "LOC110179080" 5.80149879960182e-05 5.44000092081355 3.51167832472538 1.92832259608817 "M" 7.5339143241743e-134 5.93098407793205 4.37530468846164 1.5556793894704 "M" 0.000169060493252383 2.02763021596383e-133 -0.37264320661777 0.806752662975728 0.490983157118499 0.863626363736259 -0.37264320661776 0.322336576950611 0.878320730224584 "2R" "Auto"
"52" 52 "LOC110178688" 0.00167819864295037 4.75252095022499 5.46944034999637 -0.716919399771383 "U" 1.4357303427675e-69 4.82547357588532 5.29200230325319 -0.466528727367869 "U" 0.00236729808572066 2.12279335483949e-69 -0.250390672403514 0.650740832953662 0.0729526256603306 -0.17743804674318 0.250390672403511 0.0548225024934826 -0.115863282026194 "2R" "Auto"
"53" 53 "LOC110178700" 5.1889871158547e-07 7.01958034121167 4.33566599553076 2.68391434568091 "M" 1.02618649932958e-280 6.43533007461194 4.08045873050319 2.35487134410875 "M" 2.2528091166125e-05 5.66268368266414e-279 -0.32904300157216 0.877401824651494 -0.58425026659973 -0.25520726502757 -0.32904300157216 -0.29725539043248 -0.210222493821051 "2R" "Auto"
"54" 54 "LOC110180875" 2.37244987799433e-07 3.64092447179738 6.42778826131403 -2.78686378951665 "F" 6.2108265964994e-180 4.0824843300906 6.47783741945074 -2.39535308936014 "F" 1.93132097781963e-05 3.21796668896761e-179 -0.39151070015651 0.859515667170654 0.44155985829322 0.0500491581367104 0.39151070015651 0.433131614269893 0.027808475649578 "2R" "Auto"
"55" 55 "LOC110179969" 0.00112680095858881 6.96685593144471 7.44225334670499 -0.475397415260278 "U" 3.22028109937172e-81 6.58260050931444 6.91700289147246 -0.334402382158015 "U" 0.00168019394637647 5.150230675951e-81 -0.140995033102263 0.703416492020536 -0.38425542213027 -0.52525045523253 0.14099503310226 -0.196981365314068 -0.252060014028394 "2R" "Auto"
"56" 56 "LOC110176903" 1.06942380743718e-06 9.26149494933042 7.76704888968341 1.49444605964701 "M" 1.74208611637275e-305 9.2078550049265 7.74550922890559 1.46234577602092 "M" 2.57227820687424e-05 3.19693059169706e-303 -0.03210028362609 0.978520279525062 -0.0536399444039191 -0.0215396607778198 -0.0321002836260993 -0.0206846984274225 -0.00990432286617427 "2R" "Auto"
"57" 57 "LOC110176707" 0.000326907435637239 5.50063259393407 3.13930049531385 2.36133209862022 "M" 3.58455901787119e-110 5.13802481589432 3.4579412417296 1.68008357416472 "M" 0.000604269518532081 7.3108697880645e-110 -0.6812485244555 0.711498215412576 -0.362607778039751 0.31864074641575 -0.6812485244555 -0.235432517369277 0.362501986499628 "2R" "Auto"
"58" 58 "LOC110180014" 0.000783620203437626 3.23567961588179 4.31865875718109 -1.0829791412993 "F" 5.6958115120672e-85 3.37660605282317 4.0066226192388 -0.630016566415635 "U" 0.001232027699806 9.35004132342881e-85 -0.452962574883665 0.581743952759584 0.14092643694138 -0.31203613794229 0.45296257488367 0.155549610317308 -0.258046500319635 "2R" "Auto"
